,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,cluster_labels,bathroom_map,sentiment,host_verifications_count,amenities_count
0,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.9391299999999999,2,50
1,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.91861,2,50
2,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.9529799999999999,2,50
3,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.93989,2,50
4,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.9153399999999999,2,50
5,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.9306,2,50
6,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.8871700000000001,2,50
7,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.85872,2,50
8,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.88939,2,50
9,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.8387,2,50
10,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.96314,2,50
11,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.89036,2,50
12,44077,100.0,1,2,2,1,1,3,2,1.0,2.0,70.0,3,1125,1,2,11,18,104,258,31,7,4.78,4.83,4.74,4.93,4.93,4.66,4.82,0,2,0,2,0,1.85,0,8.0,0.8783299999999999,2,50
13,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.98105,2,35
14,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.9535100000000001,2,35
15,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.9360799999999999,2,35
16,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.97252,2,35
17,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.9857,2,35
18,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.9682700000000001,2,35
19,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.9810700000000001,2,35
20,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.9249700000000001,2,35
21,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.8763799999999999,2,35
22,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.9316399999999999,2,35
23,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.8486100000000001,2,35
24,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.8718,2,35
25,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.95362,2,35
26,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.86377,2,35
27,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.9134399999999999,2,35
28,85156,100.0,1,2,2,1,1,3,2,1.0,1.0,67.0,3,21,1,3,9,21,110,210,28,4,4.79,4.86,4.74,4.9,4.88,4.64,4.78,0,2,0,2,0,1.53,0,8.0,0.8830600000000001,2,35
29,159889,100.0,0,3,4,1,1,3,1,1.0,1.0,45.0,2,21,1,1,16,36,290,355,44,6,4.74,4.77,4.71,4.86,4.9,4.63,4.74,0,3,0,3,0,2.78,0,10.0,0.76323,2,27
30,159889,100.0,0,3,4,1,1,3,1,1.0,1.0,45.0,2,21,1,1,16,36,290,355,44,6,4.74,4.77,4.71,4.86,4.9,4.63,4.74,0,3,0,3,0,2.78,0,10.0,0.9395,2,27
31,159889,100.0,0,3,4,1,1,3,1,1.0,1.0,45.0,2,21,1,1,16,36,290,355,44,6,4.74,4.77,4.71,4.86,4.9,4.63,4.74,0,3,0,3,0,2.78,0,10.0,0.9477,2,27
