Reviews,Ratings
"I went to Yang's restaurant in Clontarf with my family recently.  The owner and staff are super friendly. The service is great, nothing is to much trouble. You are taken good care of from the moment you enter the restaurant. I have eaten there many...times because it is so good. The food is fresh and dilicious with loads of  options on their extensive menu! In my opinion Yang's is one of the best Chinese restaurant's in Dublin. Book a table you will not be disappointed!More",5.0
It’s nice to see that some things don’t change. The decor remains the same and the food is fantastic. Freshly prepared and full of flavour. Lots of choice and very good quality.,5.0
"We had dinner two weeks ago and we were very disappointed in the food it was so poor in quality. I had the Singapore noodles which was the worst I have eaten to-date. 
Along with have take out food a big improvement is needed here.",1.0
Can’t rate this authentic Chinese enough. Flawless food. Fresh and full of flavour every time. Good menu choices and price isn’t overly expensive. Would return anytime,5.0
"Still as good as ever. This is a fantastic Chinese restaurant, a little expensive but it is definitely worth it. Food is delicious fresh and packed with flavour. Kids menu is good and has something for everyone.",4.0
"What a little gem of a place, food is expensive enough, but you will get lovely fresh and delicious food served by very competent staff, they take Covid very serious. Nothing was a problem to Gillian and her staff. We will definitely go again. We'll...worth a visitMore",5.0
"Top drawer,best Chinese in Dublin,can’t wait to return ,handle large groups so well,food very good!!!",5.0
"My husband's choice for his Birthday Dinner was Yang's! As usual it did not disappoint. We tried a new dish called Yin & Yang. Absolutely delicious! Also Chili crispy beef and one order of noodles. We shared this, along with a 1/4 Peking Duck starter...and a chocolate mint ice cream for desert. We split a Small Prosecco & had a bottle of 'Croix des Vents' Chardonnay.
The staff were attentive, friendly and chatty. Made us very welcome. Even tough we hadn't been there for a while you'd swear we were regulars. And we weren't rushed!
The total was 101.15 Euro which was extremely good value!More",5.0
Dinner was superb. food well presented and hot. Pleasant staff.overall experience was enjoyable.The ambiance is warm and gives a comfortable air. Meals came on time and atmosphere relaxing.,5.0
"Haven eaten in this restaurant  a lot and enjoyed every visit, but sadly last Saturday was dreadful, 
Our waitress was so rude it was unbelievable , slammed our food onto table , was more interested in sitting with the couple beside us giving  them a...five star service.
 Food was excellent  sadly this woman ruined our night, 
If our money  is not good enough for yangs we won't be backMore",3.0
"Service and food very good staff very pleasant all round house wine a little over priced at€25 euro a bottle, but would recommend it, will definitely go back,",4.0
"Called in advance to make sure that they cater for people with a wheat intolerance and was assured that there was definitely options available.when we arrived we were told by our server they had a very limited choice as most of their sauces are made...elsewhere. Nothing on the menu regarding food allergies, we are locals but unfortunately we will not be returning.More",3.0
"We had the four course meal and every bite was just delicious.

Perfect portions, great flavors and good service.

The salt and chilli chicken was a highlight!",5.0
Had dinner here on fathers day with family. Food was excellent piping hot and no shortage of same. Only fault we found was delays in between courses which was quite long. It was fairly busy in their defence. Nice surroundings and staff,4.0
"The food here is so good, quality food and seems super fresh.... its atmospheric inside...bit old school..but deadly",5.0
"It was lovely here! The food is delicious and the portions are great! The early bird menu wasn't available on a Saturday but I will go back for this menu it was great value!
Service was fast and there was plenty of staff! 
Enjoyable!",5.0
"Myself and my family had lunch at Yangs today.  The food is well priced with their early bird, which is available from 1:30pm to 5pm on Sundays, costing just under €20.  This consists of starter, main and tea/coffee; so very good value.   The food is...More",4.0
Yangs is a great restaurant to go to for good food and great service. 10/10 would recommend. Prices are reasonable too!,4.0
"warm welcome . a very nice looking Chinese restaurant on first impression 

cocktails ,

crispy duck and spare wings to get us going.

chicken green curry ,  and i think what  was a szechean  , excuse spelling , fillet of beef hot chili   . my...More",5.0
Seen this place had good reviews online so had to try it out whilst staying in Dublin for a few nights. Easy found place along the water. Me and my boyfriend were seated and served right away I tried a few of their cocktails they...More,5.0
"We always enjoy a visit to Yangs. Great food and friendly service. We had a Pigsback voucher for a 4 course meal for 2 - it was delicious. Meat Sung, Crispy Aromatic Duck, Beef in Black Bean Sauce, Sweet & Sour Chicken - all so...More",5.0
"I came here last Sunday for my dad's 60th I big occasion for the family. We decided to celebrate it at yangs , it was a really bad experience for us . The waitress was eyeballing us throughout dinner commenting back to the man behind...More",1.0
"- The Food in Yangs is always nice
- Used to love Wongs and Yangs is just as good in my opinion
- I especially love getting my take away from Yangs, it is a bit more expensive than generic Chinese take aways but is...More",5.0
"Nice restaurant, average food but friendly staff, vegetarian options available and good ones. Lovely gem in Clontarf",4.0
"If you like the Irish style Chinese you’ll probably like this restaurant. Bland food sickly sweet sweet & sour sauce heavy dishes. 
If you want authentic Chinese don’t go there, try city centre",3.0
Just after having lunch on a Dealrush voucher & am beyond disappointed & embarrassed. We were chased out into the car park after advising we were going for a cigarette before dessert. A member of staff would not let us back in until we produced...More,1.0
"had an excellent meal last night, I went on a deal rush coupon expecting small portions but it was full size portions, we had starters meat sung, skewers and chicken spring rolls,  main courses thai curry and ordinary curry chicken was lovely(breast) I would highly...More",5.0
"my second time going to this beautiful place, i got vouchers on Groupon and what wonderful value, I also bought another one and am going with my brother and his wife, cant wait would highly recommend this restaurant, fantastic staff and wonderful food with or...More",5.0
"I would totally recommend giving this Chinese in Clontarf a visit. I ate here last night and left happy, with a high standard of service and quality of food I will be returning",5.0
"We had a lovely family meal here. We loved it too when it was Wongs. We visited on a Bank Holiday Monday and at 5pm the restaurant was very busy, which is always a good sign. We were seated immediately. Their crispy aromatic duck is...More",5.0
"We had intended going elsewhere, but by chance called in without a reservation, we were seated straight away , and drinks served .
We were spoiled for choice with the menu, and the food and service were top class .
One of best Chinese restaurants...More",5.0
"Excellent food, great service and a lovely Christmassy atmosphere. Ten adults and one child...all happy eaters 👍🏻",5.0
"Dined here with Australian friends. Friendly service and all four of us thoroughly enjoyed our individual dishes e.g. beef with black bean, chicken with hoisin sauce etc. 

Recommend it.",4.0
Was here last night with family and friends the staff were so happy and friendly and the food was so nice and yummy ! Would order chicken skewers without satay sauce bbq spare ribs and ice cream again if I went again,5.0
"It isn't very common that you find a place where the food AND staff are both top drawer. However, at Yang's this is definitely how it is. I had almost given up on trying to find a nice Chinese restaurant.With the exception of one or...More",5.0
"We stayed at Clontarf castle, walked to Saint Anne park and found Yangs on walk back to hotel. The staff are very welcoming and attentive. I liked the combo, made it easier to select dinner. The meat in lettuce cups were salty but tasty!  Corn...More",4.0
"Great welcome and very friendly staff however the food was a bit of a let down ,starter of meat yuk sung good but the main courses of Duck Cantonese and Crispy Shredded Beef   were very average",3.0
Tried yangs again 3 weeks ago and the food was excellent the starter platter lovely and the salt and chilli ribs are Devine I have been 3 times in 3 weeks now I love when you get a good meal like this as you can...More,5.0
Had our first visit here at the weekend and will certainly be returning again. The restaurant is reminiscent of old style chinese restaurants. There's plenty of choice on the menu to suit all tastes. The early bird offer was available when we arrived and it...More,5.0
"This is our 2nd visit to Yangs. The service was impeccable, staff are so friendly and accommodating.
They cater really well for vegetarians and can really recommend their Stir Fried Aubergines in hot ginger and garlic sauce. I always ask for some tofu to be...More",5.0
"We visited in December, while the food was good quality it was very salty. 

The Early Bird was gone for Christmas so food seemed very expensive for what it was.",3.0
A regular spot for us for date nights and family Sunday's. We cannot recommend this establishment highly enough. Gillian and the staff cannot do enough to welcome their customers and the food is a delight.,5.0
"Used to be Wongs, but little has changed in the way of decor. The food is still very good and the crispy duck followed by salt and chilli prawn was excellent.

I find this place handy for the 3Arena and I like to eat here...More",5.0
"This use to be Wongs.  Similar food, good chinese. Good food, good service.  The menu is pretty extensive giving you awhile to figure out what you want.  It's close to bull island so matches well with a walk on the beach followed by a nice...More",4.0
"Have just finished another lovely meal here. Fab food, Fab service, great staff, enjoyable. Will be back again for certain. JJ.",4.0
We went to this restaurant late on a Saturday night as we were staying in the area. We walked in and saw that there were a few empty tables which was good as we had no reservation. We stood waiting to be seated for about...More,1.0
Its has been a few years since I have last visited Yangs and it will be a few more before we visit again. We arrived at 7pm and waited 1hr for our starter and another 1hr for the main course. Never bothered with deserts as...More,1.0
We went for the 4 course tasting menu. It was fantastic from start to finish from the dim sum before the starter to banana fritters for desert it was tasty the whole way... The staff were friendly and not intrusive. Really a nice relaxing meal....More,5.0
"I have been to this restaurant in the past and the last time was not great I reviewed it average,so my wife and I decided to buy a voucher for a 4 course meal at 45 euro.i have to say it was so different this...More",5.0
"To start, the service was slow. 

We ordered a lamb and dim sum as starters.

Lamb was flattened and in pastry, it tasted like dog food, we sent it back and ordered crispy chicken instead. Strips of very thin chicken deep fried in batter, tasteless,...More",2.0
"4 of us had a dinner early this week. that was a wonderful experience.

we had 5 to 6 dishes. there were lamb, beef, chicken, duck and vegetable.. each of the dishes was cooked just perfect. not like some of the Chinese that very salty...More",5.0
"We went on our Valentine's date in Yang's Chinese Restaurant and have to say we absolutely loved it!

The service was great - we were served by a lovely woman named Susie who was attentive and made sure everything was perfect.

I strongly recommend the...More",5.0
"We were in this restaurant on Tuesday evening the valentine's day. The food was great with good portions and fabulous taste. The service was fantastic.

We ordered roasted duck. It was the best I ever had in Dublin. Highly recommend. And also the pork was...More",5.0
"Went to Yangs Chinese Restaurant tonight since some of my friends recommended. Upon entering you'd knew this to be a higher class Chinese Restaurant compared to those I've been before.
We ordered Aromatic duck, Seafood Yuk Sung and Prawn with Pastry for starter. It didn't...More",5.0
Visited with voucher.  Waiter had no idea what we were entitled to.  Had to go back and enquire.  We're given four different menus one referring to the other.  I was totally confused n told them.  Dumplings and starter worth waiting for but what a long...More,2.0
"We had a pre arranged room booked for a party of 12 as we meet just a couple of times a year. Management phoned the organiser the day previous to ensure we were coming and inform us all was ready.
That's where any form of...More",1.0
"Went out on date night last night wanted somthing different so choose here as previous owners always had amazing reviews , didn't drive as I was planning on a few cocktails (2or 3) so got taxi out and back to end up not drinking as...More",2.0
"We had a very enjoyable meal having purchased a voucher. The voucher made it exceptional value, but flicking through the menu it looks maybe just a little more expensive, relatively speaking. The service was very good and there was a nice atmosphere in the restaurant.",4.0
First time here been to it when it was wongs a few times on arrival they put us right beside door and my kid was just getting over a flu so was shaking as it was freezing asked politely to be moved so they moved...More,3.0
"We went here last Saturday as I had a voucher for a meal for 2. We had the dim sum and meat sung, and upgraded our meal to scallops for a supplement (which was worth it) and some lovely crispy chilli chicken. We had a...More",5.0
I purchased a meal voucher for here and was delighted I did. We had a lovely meal. We had Dim Sum for appetiser and Meat Sung for starters. Both really good. My duck in szechuan sauce was great. It was topped though by my wife's...More,4.0
"Visited on a Sunday night of the Halloween weekend and it was fairly packed with groups of all sizes. 
The food was great again this time.  We had dim sum, shredded chicken and crispy lamb to start followed by duck in szechuan sauce and chicken...More",4.0
Was saddened by the closure of our favourite Chinese restaurant which we had been frequenting for over 20 years so we were looking for somewhere that might take its place and decided to give Yang's a chance.   We were greeted by a lovely friendly lady...More,4.0
We called to make a reservation but no one called back had to call again to confirm. When we arrived we had to wait 10mins for a table a further 20 mins to receive the menu and offered a drink. There appeared to be only...More,3.0
"A very good chinese restaurant and food was excellent staff were friendly it is mid priced but the quality of the food was excellent ,we also had a take away from here which again was excellent if you like this type of cuisine it well...More",5.0
"Had great dinning experience there, staff were very friendly and welcoming, food was so delicious, definitely the best Chinese food you could get in Dublin. Really enjoyed it!",5.0
"Yangs have found a really good formula for bringing customers back....

They match good food with excellent service.They fish specials are first rate.",5.0
"Was here the other evening, excellent food, friendly and prompt service, treated fantastically! Will be returning.",5.0
What can i say i paid over 20 euro for a plum duck with fried rice it was nothing but a sugary sticky mess. It did not taste fresh or filling. Broccoli side was over 8euro and bland and disapointing. I do not recommend this...More,2.0
"We were a regular customer of Wong’s which we always enjoyed but Yang’s is even better.  They have done up the restaurant keeping it in the traditional Chinese décor.  The food is of a really high standard, with an excellent variety, including many new and...More",4.0
"Visit here quite regularly at the last minute.  Food is always nice and the portion sizes are good. We often try different things and the quality is always good.  The satay and smoked shredded chicken to start are favourite of ours, followed by the duck...More",4.0
"My girlfriend and I recently went to this restaurant. We hadn't carried out any research prior to our visit and decided to go in with no expectations. As we entered we were ignored by the staff for quite some time, until one member of staff...More",2.0
"This is where Wong's used to be on the Clontarf Road, near to St Anne's Park.  It is a bit gloomy and dark, with downlighters casting strong shadows.  The waiting staff were discreet and good-humoured.  We chose from the Early Bird menu and it was...More",3.0
"I'll be honest the food was delicious but 6e for a small glass of beer is scandalous! 

Perhaps change your drinks prices and I'll come back for a visit and recommend this place to friends.

6e is highly inflated and tbh had I known before...More",3.0
"Hadnt been here since the change of owner so was excited and somewhat aprehensive to see what greated me. Inside, the decor has not changed much, I have been visiting wongs since I was a child so I was glad it was the same. I...More",4.0
"Decided to go here last minute on a Friday evening, we had no problems getting a table. We have been here before but not under the new ownership. 
Went for dim sum, one chicken and one veggie as a starter, unfortunately they arrived just warm...More",3.0
"Really enjoyed an excellent evening meal here, very, very nice and helpful service from attentive staff. Looking forward to our next visit. Top marks",5.0
"Had dinner here this weekend and really enjoyed it.  It's a little bit dark and the decor isn't very modern but the food was good, the wine was cold and the staff were efficient.  It would be great if they had the restaurant upstairs and...More",4.0
"Got a takeaway to share with the girlfriend this evening and was very disappointed. Ordered the Tom Yum soup, veg cashew nut, ribs and rice. When we got home we realised they gave us veg sweet and sour which wasn't what we ordered and tbh...More",2.0
"Yangs Chinese Restaurant, on the Clontarf Road, is the best Chinese you will find in Dublin.  The food is excellent, the service could not be better, a great place to relax and they have a great wine list.  I have been many times and have...More",5.0
"I have dined at Yang's multiple times, and have never been disappointed. The atmosphere is friendly and cosy, with some fabulous oriental decoration!

The food never disappoints (including when we've ordered food to go!). The prawns and duck are always a firm favourite, while the...More",5.0
Yangs is a fab Chinese restaurant I have dined there many times food always good Brought friends to Yangs last Saturday night and once again the food was excellent I would highly recommend the restaurant,5.0
"The food was delicious and plentiful! Great service, the staff were very friendly. I loved the atmosphere too. I can't wait to go back again!",5.0
