rating,review
5.0,"Excelente lugar, comida muito boa... o atendimento é diferenciado... faz toda diferença, com um ambiente calmo e aconchegante... Por instante me esqueci que estava em um grande centro.. Super indico"
3.0,"Ordered the CONN burger and it was lovely! The beef was slightly peppered and salted. The bacon wasn’t as crispy as I would have liked but it tasted fresh. The smoked cheese added a nice strong kick. The sweet corn was such a lovely addition and gave each bite just the right tang! The coleslaw was drowning in its own sauce and to be honest, that’s disgusting! The onion rings were way too oily! The beetroot and goat cheese salad was fantastic!"
3.0,"There are many burgers to choose from on the menu.The wife choose the cheese burger, I The Dubliner, while the children had cheese burgers from the kids menu. Quick, tasty and complimentary ice cream to go, went down well.The children were very happy. Great music.But I was not that excited. Probably need a few beers and onion rings to get the full experience.... Otherwise it is not that far up the burger evolutionary chain."
5.0,"Absolutely loved it here. The service is great and the people are lovely. I was greeted by Kristi who was so welcoming. We got a voucher on groupon which was €20 for two burgers and sides. I got the Humpty Dumpty which was the biggest burger I've ever eaten, it was delicious, not too beefy like most burger places. Lots of toppings including the normal salad options plus bacon and a fried egg. It was so filling ~ in a good happy way! For sides we got the half and half onion rings and chunky chips which were tasty and a small portion of BBQ wings which were soft and tasty, one of the nicest BBQ sauces I've had on wings in a long time! Overall a greta experience and a tasty meal!"
5.0,"Best burger restaurant in town ! Big, juicy ,great value & great location! Friendly service, relaxed atmosphere with fantastic music! 🍻👍😃"
5.0,We went last week but forgot to upload photos. Lovely lovely lovely! Simple and always exactly what you ask for. the goujons are a little on the greasy side but that's expected. Great service also
5.0,"Enticing spot in the great location of temple bar. Came here with my girlfriend under her recondition and really loved it. They have a special deal where it is €10 for any burger on the menu with chips and a soft drink. At this price you would expect the serving size to be small but in fact it is the totally opposite, I got the Mexican burger which on its own is €13 but is still included in the €10 deal and it was massive and extremely tasty with so many different flavours all wrapped into one. Probably one of the best burgers I've had in a long time especially for that price. One other massive bonus is that you also get a free 99 ice-cream if you order before 6 which really...read more"
4.0,"Burger is a burger is a burger until you go to Bobos. Inundated with offers and choices I had the humpty dumpty burger and her ladyship Edwina Love had a veggie burger but opted for the healthy lettuce ""bun"". Too many times in other places the burger itself has just been a carrier for the toppings but the patty itself here is full of flavour and cooked to perfection. Great range of starters and sides that we will be back to sample, prices are great and the service is prompt and the atmosphere is chilled with good background music."
5.0,"Fantastic! We haven't found another burger joint in Ireland as close to our American burgers as this! If you are craving a great burger, this is your place!"
4.5,Great burgers the rest is not the best in the world. it is what it is and what I expected well worth a visit if you like a proper burger. Staff are great too
4.0,"This was my first time here so I wasn't too sure what to expect, one look at the menu and I knew I was going to be in trouble - there was about 6 or 7 burgers I wanted to try (which will mean I'll come back at least 6 or 7 times!) but narrowed it down to the Veggie Dame which combined yummy falafel and all the good fresh things such as lettuce, beef tomato, onions, creme fraiche and tzatziki. Oh my god so good! The huge (and very sturdy) burger came with chubby chips and a bottle of water for €10. Bargain! Perfect for a quick but substantial and filling bite! Shout out to the staff who were so lovely too."
3.5,"I came here for dinner last night (courtesy of a very kind voucher from Zomato) and got exactly what I wanted after a long rainy day! The selection of burgers has great variety and is hard to whittle down to one choice, but I eventually went for the Miss Piggy - pork, chorizo, goat's cheese, red onion, tomato, and rocket - and wasn't disappointed.  The ingredients went very well together, and I was especially pleased to see the generous portions of rocket and red onion, which really help to counterbalance the saltiness of the other ingredients and add another set of textures.  And, crucially, the whole thing held its structural integrity depite being massive!  I washed it all down with...read more"
4.5,Really nice chips and burgers in a friendly setting. The onion rings are not to be missed. Anything that comes with Ballymaloe relish has my vote
4.0,Such tasty food! Would definitely recommend going here if you're a burger lover.. Very cheap prices and well worth the money! Great friendly and quick service too.. :)
3.5,"BóBó offer some really tasty burgers. I've been here twice and each time I've really enjoyed my burger. The service is fast and friendly and there's no need to reserve a table. I went for the chunky chips but as Chucky chips go these were not my favourite - they were a tad bit greasy for my liking. They have a very good menu withs plenty of different burger options - not just beef. They also offer wings, pork dishes, chicken fillet , veggie options, lamb, fish and more! BóBó offer some good deals on social media they're always running giveaways and there's a chance to win a free burger in the restaurant if you fill out a comment card."
4.0,"Cock a doodle do!!!! Well that was the name of the chicken burger I chose on my visit. Southern fried chicken goujons with red onion, mayo, lettuce and bbq sauce on a poppy seeded bun. As you can see you need to remove some of the chicken before eating it as a burger. The food was really good and the staff are very nice. The portion sizes are generous - you definitely get your money worth. You'll have plenty of choice - beef, pork, lamb, chicken, fish or veggie. Definitely worth a visit if you fancy a good burger!"
3.0,"I have a different experience nearly every time I go here. Burgers are always nice and packed with flavour and there's a pretty good variety. Staff are always either neutral or they forget our order/mix it up/it is delayed. Have had a few occasions where I have needed to chase them up for something I asked for several minutes previously. Kind of puts a dampner on the experience. Not a place I would go for the atmosphere but if you're just looking to eat and go, it works."
3.0,"Burgers here are good but not great. I ordered the Miss Piggy pork burger which was nice but nothing special. Staff were friendly but a little unorganised: firstly brought an incorrect order to our table and I had to ask for cutlery. Bobo's is reasonably priced however, and has a handy city centre location."
5.0,"Gorgeous food! I've been here a few times and have no complaints yet! Would recommend everyone to try here! Lots of deals on food, so cheap and lovely staff and place too"
3.5,Really really average food i had the bacon cheese burger and i felt i could have made it my self. Although the service was very quick and staff were friendly i cant see myself returning in a hurry.
4.0,This burger bar is surprisingly good! I'm not usually one for going for burgers but great shout ! I got the pork and chorizo burger which was v different but really good! Went here with a friend and we where both pretty happy with burgers and fries! Place was crazy busy and service was quite slow but over all it's good burgers and reasonably priced ?
3.5,I've had my best and worst burger here so maybe that doesn't bode well for consistency... But the best was so good it's hard to forget! I had the sun blush beef burger and skinny chips with rosemary mmmm so good! Definitely worth a try.
2.0,"For me, there are much, MUCH better burger joints in the area. Bobo's used to be great (especially the fish finger burger), they seem to have lost their way a bit. Could this be recommended over other burger joints in the area... no, but is it a decent runner up... sure! It's worth checking the menu to see if anything takes your fancy!"
4.0,"LOVE the place! Looked like a quaint little place from the outside, but it's actually pretty big. Lovely ambiance. It was a little chilly outside but the heaters are pretty strong and keep you warm. The service was very good. The girl who took our order was very friendly and patient. The food was really good. It was really well made and to our surprise the portion size was pretty big. We had Singapore Chicken Salad, Potato Bravas, a Cous Cous Salad and a Risotto dish. The potato bravas is a MUST HAVE, while I found the singapore chicken a bit too sweet for my palate. It was still well made though. Overall a good experience!"
4.5,"Loved the food and the staff where friendly but did not like the place in which we were seated to near the fire and the smoke from it sort of ruined my first experience of the place, although we will be going back tonight so I shall see how I get on."
3.0,"Overrated restaurant! Lovely space but the food the main thing a disappointment ! I ordered a ckicken burger , the chicken was over cooked and so dry that was so hard to eat. As a starter the famous wings , tasty but over spicy. As a desert as a attempt to save the meal a blueberry cheesecake but again not tasty at all . I would suggest the space to enjoy a drink at the terrace with sea view or try the seafood , that's it !"
4.5,This is a lovely place to have a drink or a to have a meal. They have different rooms inside and one terrace with sea view. Inside it's really cozy and the staff is really nice. The prices are ok and the food is really good.
4.0,"The Blue Bar is a big institution in Skerries. It's always best to book a table before going! We didn't, but luckily our waiting time was short.
Of course, I tried the famous buffalo wings, which were very delicious and just spicy enough. The blue cheese dip was very soft and yummy.
I ordered a side of coleslaw. I love coleslaw, so there's almost no way to get it wrong, and this one was very good.
The place is beautiful, very well decorated and with a dark, candlelight mood; super cozy. The staff is also nice.
The small platter of wings is very reasonably priced and served, you can get pretty satisfied with one."
